orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
437032170004,TDFYSL50399172438,437032170004, Sell,NQH6,NQ,E-Mini NASDAQ 100,24677.25,1,03/13/2026 19:40:45,437032170004, Filled,-2,0,0.25,,437032170004,03/13/2026 19:40:45,3/13/26,1,Chart, Market,,,,,1,24677.25,24677.25,,"493,545.00",USD
437032170014,TDFYSL50399172438,437032170014, Sell,NQH6,NQ,E-Mini NASDAQ 100,24680.25,1,03/13/2026 19:41:13,437032170014, Filled,-2,0,0.25,,437032170014,03/13/2026 19:41:13,3/13/26,1,Chart, Market,,,,,1,24680.25,24680.25,,"493,605.00",USD
437032170023,TDFYSL50399172438,437032170023, Sell,NQH6,NQ,E-Mini NASDAQ 100,24679.75,1,03/13/2026 19:41:13,437032170023, Filled,-2,0,0.25,,437032170023,03/13/2026 19:41:13,3/13/26,1,Chart, Market,,,,,1,24679.75,24679.75,,"493,595.00",USD
437032170032,TDFYSL50399172438,437032170032, Sell,NQH6,NQ,E-Mini NASDAQ 100,24681.75,1,03/13/2026 19:41:14,437032170032, Filled,-2,0,0.25,,437032170032,03/13/2026 19:41:14,3/13/26,1,Chart, Market,,,,,1,24681.75,24681.75,,"493,635.00",USD
437032170041,TDFYSL50399172438,437032170041, Sell,NQH6,NQ,E-Mini NASDAQ 100,,,,437032170041, Rejected,-2,0,0.25,,437032170041,03/13/2026 19:41:14,3/13/26,1,Chart, Market,,,,,,,,,,USD
437032170043,TDFYSL50399172438,437032170043, Sell,NQH6,NQ,E-Mini NASDAQ 100,,,,437032170043, Rejected,-2,0,0.25,,437032170043,03/13/2026 19:41:20,3/13/26,1,Chart, Market,,,,,,,,,,USD
437032170045,TDFYSL50399172438,437032170045, Buy,NQH6,NQ,E-Mini NASDAQ 100,24682.25,4,03/13/2026 19:41:25,437032170045, Filled,-2,0,0.25,,437032170045,03/13/2026 19:41:25,3/13/26,4,Exit, Market,,,,,4,24682.25,24682.25,,"1,974,580.00",USD
437032170062,TDFYSL50399172438,437032170062, Sell,NQH6,NQ,E-Mini NASDAQ 100,24668.25,1,03/13/2026 19:42:14,437032170062, Filled,-2,0,0.25,,437032170062,03/13/2026 19:42:14,3/13/26,1,Chart, Market,,,,,1,24668.25,24668.25,,"493,365.00",USD
437032170071,TDFYSL50399172438,437032170071, Sell,NQH6,NQ,E-Mini NASDAQ 100,24673.75,1,03/13/2026 19:42:20,437032170071, Filled,-2,0,0.25,,437032170071,03/13/2026 19:42:20,3/13/26,1,Chart, Market,,,,,1,24673.75,24673.75,,"493,475.00",USD
437032170080,TDFYSL50399172438,437032170080, Buy,NQH6,NQ,E-Mini NASDAQ 100,24682.0,2,03/13/2026 19:46:25,437032170080, Filled,-2,0,0.25,,437032170080,03/13/2026 19:46:25,3/13/26,2,Exit, Market,,,,,2,24682.00,24682.0,,"987,280.00",USD
437032170093,TDFYSL50399172438,437032170093, Sell,NQH6,NQ,E-Mini NASDAQ 100,24655.0,1,03/13/2026 19:46:53,437032170093, Filled,-2,0,0.25,,437032170093,03/13/2026 19:46:53,3/13/26,1,Chart, Market,,,,,1,24655.00,24655.0,,"493,100.00",USD
437032170102,TDFYSL50399172438,437032170102, Sell,NQH6,NQ,E-Mini NASDAQ 100,24657.25,1,03/13/2026 19:46:53,437032170102, Filled,-2,0,0.25,,437032170102,03/13/2026 19:46:53,3/13/26,1,Chart, Market,,,,,1,24657.25,24657.25,,"493,145.00",USD
437032170111,TDFYSL50399172438,437032170111, Sell,NQH6,NQ,E-Mini NASDAQ 100,24646.25,1,03/13/2026 19:47:46,437032170111, Filled,-2,0,0.25,,437032170111,03/13/2026 19:47:46,3/13/26,1,Chart, Market,,,,,1,24646.25,24646.25,,"492,925.00",USD
437032170121,TDFYSL50399172438,437032170121, Buy,NQH6,NQ,E-Mini NASDAQ 100,24676.75,3,03/13/2026 19:50:07,437032170121, Filled,-2,0,0.25,,437032170121,03/13/2026 19:50:07,3/13/26,3,AutoLiq, Market,,,,,3,24676.75,24676.75,,"1,480,605.00",USD
