101790813,67cfd0a1-1ee6-11f1-a4f3-f770d92dbac9,4870874,1545338,CM.MNQH6,352.5,686,2026-03-13T14:10:35.000Z,2026-03-13T14:17:34.000Z
101781646,be289231-1ee5-11f1-8e8f-0308e4392ec0,4870874,1545338,CM.MNQH6,25,31,2026-03-13T14:05:51.000Z,2026-03-13T14:06:22.000Z
101770160,f033cf21-1ee4-11f1-8e8f-0308e4392ec0,4870874,1545338,CM.MNQH6,235,451,2026-03-13T14:00:05.000Z,2026-03-13T14:05:01.000Z
101762264,46eb0461-1ee4-11f1-a598-b333fa5d4a2e,4870874,1545338,CM.MNQH6,-207.5,-424.5,2026-03-13T13:55:21.000Z,2026-03-13T13:57:52.000Z
101741403,e13587e1-1ee2-11f1-93d6-5d288cc54aba,4870874,1545338,CM.MNQH6,10,10.5,2026-03-13T13:45:21.000Z,2026-03-13T13:47:08.000Z
101656332,76014da1-1eca-11f1-af1e-938450130e2b,4870874,1545338,CM.MNQH6,20,21,2026-03-13T10:50:33.000Z,2026-03-13T11:08:29.000Z
101654282,14bc8e31-1ec8-11f1-8977-f79a1d1cbb47,4870874,1545338,CM.MNQH6,-123,-253.6,2026-03-13T10:33:31.000Z,2026-03-13T10:48:46.000Z
101075591,6a1ada51-1def-11f1-af9a-15dcc1d53f72,4870874,1545338,CM.MNQH6,785,1532,2026-03-12T08:42:33.000Z,2026-03-12T08:50:06.000Z
101073099,7f98e551-1dec-11f1-9705-cd6a9338ce6b,4870874,1545338,CM.MNQH6,-350,-719,2026-03-12T08:21:41.000Z,2026-03-12T08:41:12.000Z
101064296,35483dd1-1de1-11f1-9d19-9be70f9ab317,4870874,1545338,CM.MNQH6,40,42,2026-03-12T07:00:52.000Z,2026-03-12T07:06:58.000Z
101064022,c4a47cb1-1de0-11f1-a2cb-23bb69acb7b9,4870874,1545338,CM.MNQH6,85,132,2026-03-12T06:57:43.000Z,2026-03-12T07:00:15.000Z
100739230,637429b1-1d5c-11f1-b1b5-cd1a8ac50a7a,4870874,1545338,CM.MNQH6,1035,2032,2026-03-11T15:10:06.000Z,2026-03-11T15:12:38.000Z
100736722,fd8a6151-1d5b-11f1-b1b5-cd1a8ac50a7a,4870874,1545338,CM.MNQH6,-500,-1038,2026-03-11T15:07:15.000Z,2026-03-11T15:09:38.000Z
