account_id,order_id,order_date,last_time,ord_type,qty_sent,qty_done,symbol,trigger_price,price_done,orders,pnl,status,ord_state
1545338,4UL8MMOZ54SI,1773411035.779,1773411035.829,Market,-10,-10,CM.MNQH6,n/a,24685.75,-10 @ Market,0,Completed,Completed
1545338,4UL8MMOZ54SJ,1773411035.779,1773411454.49,Limit,10,10,CM.MNQH6,n/a,24650.5,10 @ 24650.5,686,Completed,Completed
1545338,1BO97MMOYZ163,1773410751.148,1773410751.197,Market,-10,-10,CM.MNQH6,n/a,24716.5,-10 @ Market,0,Completed,Completed
1545338,1BO97MMOYZ165,1773410751.148,1773410782.395,Stop,10,10,CM.MNQH6,24714,24714,10 @ 0,31,Completed,Completed
1545338,EVN47MMOYXYJV,1773410701.1,1773410701.154,Market,10,10,CM.MNQH6,n/a,24712.25,10 @ Market,451,Completed,Completed
1545338,1AXV8MMOYRMJO,1773410405.605,1773410405.661,Market,-10,-10,CM.MNQH6,n/a,24735.75,-10 @ Market,0,Completed,Completed
1545338,AP9XOZ6MMOYLJEL,1773410121.598,1773410121.646,Market,5,5,CM.MNQH6,n/a,24777.5,5 @ Market,0,Completed,Completed
1545338,AP9XOZ6MMOYLJEN,1773410121.598,1773410272.147,Stop,-5,-5,CM.MNQH6,24736,24736,-5 @ 0,-424.5,Completed,Completed
1545338,5BBB7MMOY8OC3,1773409521.46,1773409521.515,Market,5,5,CM.MNQH6,n/a,24771,5 @ Market,0,Completed,Completed
1545338,5BBB7MMOY8OC5,1773409521.46,1773409628.531,Stop,-5,-5,CM.MNQH6,24773,24773,-5 @ 0,10.5,Completed,Completed
1545338,H58LP7MMORZVWQ,1773399033.676,1773399033.733,Market,10,10,CM.MNQH6,n/a,24612.5,10 @ Market,0,Completed,Completed
1545338,H58LP7MMORZVWS,1773399033.676,1773400109.378,Stop,-10,-10,CM.MNQH6,24614.5,24614.5,-10 @ 0,21,Completed,Completed
1545338,4VUD7MMORDZ6X,1773398011.498,1773398011.547,Market,-4,-4,CM.MNQH6,n/a,24579.5,-4 @ Market,0,Completed,Completed
1545338,4VUD7MMORDZ6Z,1773398011.498,1773398926.291,Stop,4,4,CM.MNQH6,24610.25,24610.25,4 @ 0,-253.6,Completed,Completed
1545338,YENR3X7MMN7ZFIL,1773304953.934,1773304953.983,Market,20,20,CM.MNQH6,n/a,24846.75,20 @ Market,0,Completed,Completed
1545338,YENR3X7MMN7ZFIM,1773304953.934,1773305405.887,Limit,-20,-20,CM.MNQH6,n/a,24886,-20 @ 24886,1532,Completed,Completed
1545338,EQF7F7MMN78L4M,1773303701.495,1773303701.555,Market,10,10,CM.MNQH6,n/a,24880.5,10 @ Market,0,Completed,Completed
1545338,EQF7F7MMN78L4O,1773303701.495,1773304871.619,Stop,-10,-10,CM.MNQH6,24845.5,24845.5,-10 @ 0,-719,Completed,Completed
1545338,5ZGT8MMN4CNI4,1773298852.35,1773298852.41,Market,-20,-20,CM.MNQH6,n/a,24815,-20 @ Market,0,Completed,Completed
1545338,5ZGT8MMN4CNI5,1773298852.35,1773299217.613,Limit,20,20,CM.MNQH6,n/a,24813,20 @ 24813,42,Completed,Completed
1545338,1OJJ97MMN4BUMF,1773298814.92,1773298814.974,Market,-20,-20,CM.MNQH6,n/a,24809.75,-20 @ Market,132,Completed,Completed
1545338,CI3VD8MMN48LMY,1773298663.307,1773298663.43,Market,20,20,CM.MNQH6,n/a,24805.5,20 @ Market,0,Completed,Completed
1545338,DQAF7MMM6DYUG,1773241806.761,1773241806.802,Market,-20,-20,CM.MNQH6,n/a,25041.5,-20 @ Market,0,Completed,Completed
1545338,DQAF7MMM6DYUH,1773241806.761,1773241958.499,Limit,20,20,CM.MNQH6,n/a,24989.75,20 @ 24989.75,2032,Completed,Completed
1545338,B6WXCV8MMM6AAWW,1773241635.777,1773241635.824,Market,20,20,CM.MNQH6,n/a,25063,20 @ Market,0,Completed,Completed
1545338,B6WXCV8MMM6AAWY,1773241635.777,1773241777.788,Stop,-20,-20,CM.MNQH6,25038,25038,-20 @ 0,-1038,Completed,Completed
